token,tf,bars,cycles,reach30,reach60,reach100,final30,final60,final100,open,resolved,wins,pnl
QNT,12H,93,1,1,1,1,0,0,1,1,0,0,0.00
QQQ,8H,417,9,9,6,5,3,1,5,1,8,5,17.93
QQQ,12H,279,4,4,4,4,0,0,4,1,3,3,36.04
RAM,8H,57,1,1,1,1,0,0,1,1,0,0,0.00
RAM,12H,39,1,1,1,1,0,0,1,1,0,0,0.00
RDDT,8H,99,4,4,3,2,1,1,2,1,3,3,19.45
RDDT,12H,67,1,1,1,1,0,0,1,1,0,0,0.00
RDW,8H,150,3,3,3,2,0,1,2,1,2,1,0.85
RDW,12H,101,1,1,1,1,0,0,1,1,0,0,0.00
RIVN,8H,99,3,3,3,2,0,1,2,1,2,2,2.52
RIVN,12H,67,1,1,1,0,0,1,0,0,1,1,1.20
RKLB,8H,210,4,4,4,4,0,0,4,1,3,1,-8.91
RKLB,12H,141,3,3,3,3,0,0,3,1,2,1,-3.31
ROK,8H,117,3,3,3,2,0,1,2,1,2,2,30.92
ROK,12H,79,2,2,2,2,0,0,2,1,1,1,19.80
SAMSUNG,8H,123,1,1,1,1,0,0,1,1,0,0,0.00
SAMSUNG,12H,83,1,1,1,1,0,0,1,1,0,0,0.00
SHAZ,8H,33,1,1,1,1,0,0,1,1,0,0,0.00
SHLD,8H,210,5,5,4,4,1,0,4,1,4,3,2.46
SHLD,12H,141,4,4,4,2,0,2,2,1,3,2,3.54
SIMO,8H,45,1,1,1,1,0,0,1,1,0,0,0.00
SIMO,12H,31,1,1,1,1,0,0,1,1,0,0,0.00
SKHY,8H,32,1,1,1,0,0,1,0,1,0,0,0.00
SKHYNIX,8H,123,1,1,1,1,0,0,1,1,0,0,0.00
SKHYNIX,12H,83,1,1,1,1,0,0,1,1,0,0,0.00
SMCI,8H,81,1,1,1,1,0,0,1,1,0,0,0.00
SMCI,12H,55,2,2,2,1,0,1,1,1,1,1,1.58
SMH,8H,99,2,2,2,2,0,0,2,1,1,1,28.39
SMH,12H,67,1,1,1,1,0,0,1,1,0,0,0.00
SNDK,8H,417,4,4,4,4,0,0,4,1,3,2,211.53
SNDK,12H,279,6,6,5,2,1,3,2,1,5,5,676.93
SOFTBANK,8H,57,2,2,1,1,1,0,1,1,1,1,1.13
SOFTBANK,12H,39,1,1,1,1,0,0,1,1,0,0,0.00
SONY,8H,81,1,1,1,0,0,1,0,0,1,1,0.28
SONY,12H,55,1,1,1,0,0,1,0,0,1,1,0.51
SOXL,8H,189,4,4,3,3,1,0,3,1,3,3,65.09
SOXL,12H,127,2,2,2,2,0,0,2,1,1,1,70.64
SPCX,8H,225,4,4,4,3,0,1,3,1,3,2,-2168.62
SPCX,12H,151,3,3,3,2,0,1,2,1,2,1,-2054.12
SPY,8H,417,10,10,9,6,1,3,6,1,9,7,35.06
SPY,12H,279,6,6,5,4,1,1,4,1,5,5,30.43
STRC,8H,66,2,2,2,2,0,0,2,1,1,1,2.11
STRC,12H,45,1,1,1,1,0,0,1,1,0,0,0.00
TER,8H,105,3,3,2,1,1,1,1,1,2,2,38.48
TER,12H,71,2,2,2,1,0,1,1,1,1,1,25.55
TQQQ,8H,57,1,1,1,1,0,0,1,1,0,0,0.00
TQQQ,12H,39,1,1,1,1,0,0,1,1,0,0,0.00
TSEM,8H,78,1,1,1,1,0,0,1,0,1,0,-3.34
TSEM,12H,53,1,1,1,0,0,1,0,0,1,1,14.21
TSLA,8H,438,12,12,11,6,1,5,6,1,11,9,64.82
TSLA,12H,293,8,8,7,5,1,2,5,1,7,5,40.85
TSM,8H,396,9,9,8,7,1,1,7,1,8,8,129.80
TSM,12H,265,5,5,5,4,0,1,4,1,4,4,100.88
TTMI,8H,84,1,1,1,1,0,0,1,1,0,0,0.00
TTMI,12H,57,1,1,1,1,0,0,1,1,0,0,0.00
TTWO,8H,45,1,1,1,1,0,0,1,1,0,0,0.00
TTWO,12H,31,1,1,1,0,0,1,0,1,0,0,0.00
TWLO,8H,117,5,5,3,2,2,1,2,1,4,4,22.34
TWLO,12H,79,2,2,2,1,0,1,1,1,1,1,7.80
UNH,8H,45,3,3,2,1,1,1,1,1,2,2,14.04
UNH,12H,31,3,3,2,1,1,1,1,1,2,2,21.87
URNM,8H,183,6,6,4,3,2,1,3,1,5,3,-2.45
