Date,SPY|Buy&Hold,SPY|SMA 50/200 (Golden Cross),SPY|SMA 10/20 (backtesting.py),SPY|RSI(2) MeanRev (Connors),SPY|Bollinger MeanRev,SPY|MACD Crossover,SPY|Donchian Breakout (Turtle),QQQ|Buy&Hold,QQQ|SMA 50/200 (Golden Cross),QQQ|SMA 10/20 (backtesting.py),QQQ|RSI(2) MeanRev (Connors),QQQ|Bollinger MeanRev,QQQ|MACD Crossover,QQQ|Donchian Breakout (Turtle),AAPL|Buy&Hold,AAPL|SMA 50/200 (Golden Cross),AAPL|SMA 10/20 (backtesting.py),AAPL|RSI(2) MeanRev (Connors),AAPL|Bollinger MeanRev,AAPL|MACD Crossover,AAPL|Donchian Breakout (Turtle),BTC-USD|Buy&Hold,BTC-USD|SMA 50/200 (Golden Cross),BTC-USD|SMA 10/20 (backtesting.py),BTC-USD|RSI(2) MeanRev (Connors),BTC-USD|Bollinger MeanRev,BTC-USD|MACD Crossover,BTC-USD|Donchian Breakout (Turtle)
2022-04,-8.78,0.0,-1.89,0.0,-3.34,-0.69,-2.64,-13.6,0.0,-4.51,0.0,-1.28,-3.74,-3.74,-9.71,-9.71,-5.38,3.77,0.49,-2.64,-2.64,-17.18,0.0,-7.36,0.0,-4.62,-0.01,-5.17
2022-05,0.23,0.0,0.0,0.0,-1.67,4.78,0.0,-1.59,0.0,0.0,0.0,-1.37,5.79,0.0,-5.45,-5.45,0.0,0.0,7.4,-0.58,0.0,-15.7,0.0,0.0,0.0,-8.83,0.16,0.16
2022-06,-8.25,0.0,-9.24,0.0,0.98,-11.92,0.0,-8.91,0.0,-11.46,0.0,7.07,-15.09,0.0,-8.14,-2.37,-7.42,0.0,7.31,-12.47,0.0,-37.77,0.0,-17.84,0.0,-26.12,-22.62,-8.57
2022-07,9.21,0.0,5.86,0.0,1.54,9.21,4.97,12.55,0.0,6.89,0.0,0.0,12.55,5.7,18.86,0.0,14.74,0.0,0.0,18.86,9.4,17.95,0.0,16.8,0.0,3.81,17.95,7.8
2022-08,-4.08,0.0,-3.39,0.0,-0.81,0.28,-1.67,-5.13,0.0,-3.55,0.0,-2.71,2.29,-0.4,-3.12,0.0,-2.13,1.37,-1.11,3.21,0.77,-14.09,0.0,-7.77,0.0,-4.01,-3.71,-10.58
2022-09,-9.24,0.0,0.0,0.0,0.85,0.0,0.0,-10.54,0.0,0.0,0.0,-10.54,0.0,0.0,-12.1,-8.38,0.0,0.0,-12.1,0.0,0.0,-3.08,0.0,-17.18,0.0,6.59,-9.29,-12.95
2022-10,8.13,0.0,0.28,0.0,3.85,-0.04,1.89,4.0,0.0,-0.04,0.0,3.0,-2.65,-2.25,10.96,1.32,0.61,0.0,6.51,7.62,0.61,5.48,0.0,-4.52,0.0,0.0,2.96,0.73
2022-11,5.56,0.0,5.56,0.0,0.0,5.56,5.56,5.54,0.0,-2.52,0.0,0.0,-2.86,-7.01,-3.3,0.0,-11.97,0.0,0.0,-14.89,-9.48,-16.23,0.0,-22.56,0.0,-7.46,-6.56,-9.58
2022-12,-5.76,0.0,-4.48,0.0,-0.27,-3.45,-3.45,-9.01,0.0,-6.92,0.0,-2.72,-4.03,-4.47,-12.23,0.0,-4.84,0.0,-4.86,0.0,0.0,-3.62,0.0,-0.98,0.0,-0.05,-5.53,-3.5
2023-01,6.29,0.38,2.35,0.0,1.43,4.75,1.95,10.64,0.0,4.81,0.0,2.41,8.85,4.59,11.05,0.0,6.66,0.0,2.69,10.81,4.61,39.84,0.0,34.49,0.0,0.0,36.8,36.43
2023-02,-2.51,-2.51,-2.0,-0.76,0.0,0.33,-1.87,-0.36,0.0,-0.99,-0.21,0.0,2.89,-0.25,2.32,0.0,2.32,-0.77,0.0,3.01,3.01,0.03,-0.55,-12.86,2.73,11.29,-5.66,-6.36
2023-03,3.71,3.71,3.43,3.03,3.66,2.57,1.36,9.49,11.34,4.71,2.03,0.0,4.71,3.36,11.86,4.43,7.68,2.4,0.0,5.75,5.75,23.03,23.03,0.22,1.1,18.71,15.02,15.02
2023-04,1.6,1.6,1.6,1.46,0.0,-0.86,-0.86,0.51,0.51,-2.87,3.06,0.0,-2.51,-3.46,2.9,2.9,2.9,3.31,0.0,-3.2,2.9,2.78,2.78,-3.4,-3.96,0.0,-2.99,-0.87
2023-05,0.46,0.46,-1.78,3.86,0.0,-2.59,0.41,7.88,7.88,7.72,0.0,0.0,6.97,7.83,4.61,4.61,4.61,4.59,0.0,-2.12,4.61,-7.0,-7.0,-8.17,3.03,0.0,1.26,-3.13
2023-06,6.48,6.48,6.48,0.0,0.0,3.58,6.48,6.3,6.3,6.3,0.0,0.0,5.32,6.3,9.43,9.43,9.43,0.0,0.0,7.65,9.43,11.97,11.97,-1.25,2.1,12.78,5.02,1.72
2023-07,3.27,3.27,3.27,0.0,0.0,-0.48,3.27,3.86,3.86,3.86,0.0,0.0,-1.01,3.86,1.28,1.28,1.28,0.92,0.0,-2.81,1.28,-4.09,-4.09,-0.33,2.26,0.13,-1.91,-6.15
2023-08,-1.63,-1.63,-2.68,0.41,2.06,0.22,-1.92,-1.48,-1.48,-2.26,-2.9,1.76,0.81,-2.23,-4.24,-4.24,-9.0,-4.45,-0.96,5.13,-2.74,-11.29,-11.29,-9.44,-8.0,-1.78,-9.96,0.0
2023-09,-4.74,-4.74,-2.54,-1.9,-0.96,-1.19,-1.4,-5.08,-5.08,-5.18,-0.57,0.06,-1.85,-1.95,-8.87,-8.87,-6.94,0.13,0.0,-4.58,-7.04,4.0,-0.43,1.14,0.0,0.0,4.0,0.0
2023-10,-2.17,-2.17,-4.33,-1.56,2.94,-2.66,0.0,-2.07,-2.07,-5.39,-2.63,3.83,-2.87,0.0,-0.26,-0.26,-7.27,-2.93,2.27,-0.55,-3.94,28.55,0.43,22.94,0.0,0.0,21.01,16.56
2023-11,9.13,9.13,5.15,-0.05,2.95,5.9,4.4,10.82,10.82,5.02,-0.05,3.53,6.93,4.28,11.38,11.38,4.22,-0.05,3.93,7.06,4.56,8.78,8.78,8.78,6.49,0.0,-1.28,8.78
2023-12,4.57,4.57,4.57,0.0,0.0,2.36,4.57,5.59,5.59,5.59,0.0,0.0,2.21,3.57,1.36,1.36,1.36,-0.6,0.0,-2.05,1.58,12.07,12.07,11.29,3.89,0.0,4.9,11.58
2024-01,1.59,1.59,1.16,1.94,0.0,-0.22,-1.7,1.82,1.82,-1.34,0.49,0.0,-2.77,-0.84,-4.22,-4.22,-8.68,-2.6,1.51,-3.79,-5.57,0.75,0.75,-2.42,-2.52,0.0,-10.39,-3.1
2024-02,5.22,5.22,5.22,0.0,0.0,3.39,5.22,5.28,5.28,5.28,2.83,0.0,-0.21,2.6,-1.85,-1.85,2.07,2.13,0.0,-0.05,-0.06,43.72,43.72,41.64,1.87,0.0,27.6,38.02
2024-03,3.27,3.27,3.27,0.0,0.0,-2.06,3.27,1.27,1.27,1.27,0.0,0.0,-3.01,-1.67,-5.13,-4.34,-1.11,0.0,0.46,-1.34,0.0,16.56,16.56,4.16,2.84,0.0,6.67,6.67
2024-04,-4.03,-4.03,-2.39,1.26,1.01,-0.22,-1.96,-4.37,-4.37,0.26,1.2,0.29,0.0,-2.0,-0.67,0.0,-1.12,0.0,0.0,-3.63,0.0,-15.0,-15.0,-1.88,2.74,4.62,0.0,-10.99
2024-05,5.06,5.06,2.04,0.86,0.0,2.11,0.37,6.15,6.15,2.31,0.0,0.0,3.45,2.04,13.02,0.0,4.93,0.0,0.0,11.81,4.93,11.3,11.3,1.8,3.66,9.57,5.42,1.8
2024-06,3.53,3.53,3.53,0.14,0.0,2.07,2.06,6.47,6.47,6.47,1.51,0.0,3.91,3.47,9.56,-1.74,9.56,0.0,0.0,-2.0,9.56,-7.13,-7.13,-1.98,-6.96,3.93,-2.6,-0.05
2024-07,1.21,1.21,-0.01,0.28,2.25,-0.51,0.83,-1.68,-1.68,-3.33,-2.27,1.61,0.94,0.5,5.44,5.44,3.57,-0.99,0.0,1.67,6.28,3.1,3.1,0.73,-0.05,-3.06,11.55,-0.44
2024-08,2.34,2.34,0.84,2.41,-1.64,3.61,0.68,1.1,1.1,-0.88,2.76,-1.85,2.88,-2.55,3.24,3.24,1.05,1.78,5.75,3.23,1.25,-8.74,-5.73,-9.57,-4.6,-0.49,-0.78,-8.09
2024-09,2.1,2.1,-1.8,2.5,0.0,-0.01,-1.38,2.62,2.62,-4.65,4.34,0.0,-0.4,1.07,1.75,1.75,-1.17,2.65,5.7,-1.63,-2.77,7.39,0.0,2.17,0.0,12.16,8.9,2.62
2024-10,-0.89,-0.89,-0.89,0.39,0.0,-0.86,-2.59,-0.86,-0.86,-0.86,0.0,0.0,-0.98,-3.3,-3.04,-3.04,-3.04,0.0,0.0,-4.01,-4.89,10.87,0.39,2.91,2.5,0.0,-2.29,2.03
2024-11,5.96,5.96,0.96,2.58,3.84,-0.57,1.85,5.35,5.35,1.17,3.24,0.0,-2.73,0.72,5.17,5.17,1.36,0.59,2.72,3.91,0.92,37.36,37.36,37.36,16.53,0.0,18.88,37.36
2024-12,-2.41,-2.41,-1.61,1.67,2.8,-0.01,-2.75,0.45,0.45,-0.73,1.75,0.0,-0.32,1.27,5.52,5.52,5.52,0.0,0.0,6.21,5.52,-3.13,-3.13,2.9,1.11,0.0,-5.74,0.75
2025-01,2.69,2.69,-1.35,0.9,0.0,0.66,-0.25,2.16,2.16,1.47,5.04,0.0,-0.53,-1.78,-5.76,-5.76,-3.13,-8.3,0.49,-1.45,-2.67,9.61,9.61,2.74,6.61,0.0,-5.34,-2.02
2025-02,-1.27,-1.27,-2.84,-1.01,1.51,-1.5,-0.36,-2.7,-2.7,-2.7,-3.1,1.53,-2.26,-0.51,2.59,2.59,3.76,2.61,0.0,2.59,0.08,-17.61,-17.61,-1.03,-8.08,-6.21,-7.13,-1.76
2025-03,-5.57,-5.57,0.0,-4.6,-3.14,-0.86,0.0,-7.59,-7.59,-0.05,-5.05,-3.35,-2.38,0.0,-8.15,-8.15,-5.98,-1.19,-2.4,-2.39,-2.49,-2.16,-2.16,-5.7,11.65,11.65,-6.41,0.0
