entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
2026-07-21 08:15:00+00:00,2026-07-21 10:15:00+00:00,short,920.0699999999999,923.406939,1.68,8,3.959957673277717,time_stop,-5.606057520000049,1.08480534876,-6.690862868760049,-0.06868867647565975,9734.161941495577
2026-07-21 10:30:00+00:00,2026-07-21 12:30:00+00:00,short,923.14,918.265397,2.24,8,3.634085965772644,time_stop,10.919110719999955,1.44202396464,9.477086755359954,0.09735904140817978,9743.639028250936
2026-07-22 11:45:00+00:00,2026-07-22 13:45:00+00:00,long,931.9300000000001,972.5881360000001,1.65,8,-3.21272741145135,time_stop,67.08592440000002,1.1099221122,65.97600228780003,0.6771187037667102,9809.615030538736
2026-07-23 09:30:00+00:00,2026-07-23 11:30:00+00:00,short,994.4399999999999,975.932692,1.42,8,2.802707745322966,time_stop,26.28037735999995,0.9753331713200001,25.30504418867995,0.25796164385556136,9834.920074727417
2026-07-28 08:15:00+00:00,2026-07-28 10:15:00+00:00,long,851.58,855.3333230000001,2.54,8,-3.16977794287969,time_stop,9.533440420000058,1.5188759602100004,8.014564459790058,0.08149089569507446,9842.934639187208
2026-07-28 11:15:00+00:00,2026-07-28 13:15:00+00:00,long,834.75,842.3272260000001,1.5,8,-3.691851893218912,time_stop,11.365839000000165,0.8821704195000002,10.483668580500165,0.10650958240403256,9853.418307767708
2026-07-30 10:45:00+00:00,2026-07-30 12:45:00+00:00,short,750.1899999999999,788.43646,1.22,8,2.5767236675409113,time_stop,-46.660681200000084,0.6639926006,-47.32467380060008,-0.48028686413620336,9806.093633967108
2026-08-03 13:00:00+00:00,2026-08-03 15:00:00+00:00,long,788.46,815.7352060000001,0.85,8,-2.6384543866919676,time_stop,23.18392510000002,0.48072566255000004,22.70319943745002,0.23152134055511076,9828.796833404558
2026-08-04 08:15:00+00:00,2026-08-04 10:15:00+00:00,short,861.6,857.147067,0.84,8,2.547009365373837,time_stop,3.740463720000025,0.50475056814,3.235713151860025,0.0329207450993696,9832.032546556418
2026-08-06 10:45:00+00:00,2026-08-06 12:45:00+00:00,long,854.76,853.64383,2.44,8,-3.7415011019965116,time_stop,-2.723454800000027,1.4585683526,-4.182023152600027,-0.04253467564104783,9827.850523403818
