symbol,entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
MU,2026-04-07 00:30:00+00:00,2026-04-07 02:30:00+00:00,short,383.23,376.07278799999995,6.75,8,2.566668471045485,time_stop,48.31118100000049,1.7866061595,46.524574840500485,0.4599029825916763,10162.696159186848
SNDK,2026-04-07 02:00:00+00:00,2026-04-07 04:00:00+00:00,long,718.07,716.2750530000001,3.63,8,-2.784308174382263,time_stop,-6.515657609999924,1.8213580411950003,-8.337015651194925,-0.08203547090855856,10154.359143535652
SNDK,2026-04-08 00:15:00+00:00,2026-04-08 02:15:00+00:00,short,758.52,758.857589,0.6,8,2.614597663686188,time_stop,-0.20255339999998795,0.31867967669999997,-0.521233076699988,-0.005133096725575333,10153.837910458951
SNDK,2026-04-09 01:30:00+00:00,2026-04-09 03:30:00+00:00,long,758.89,770.56876,1.52,8,-2.599128085902457,time_stop,17.751715200000017,0.8163348175999999,16.935380382400016,0.1667879725059994,10170.77329084135
SNDK,2026-04-10 01:00:00+00:00,2026-04-10 03:00:00+00:00,short,872.41,868.8205679999999,1.95,8,4.495847600807026,time_stop,6.999392400000198,1.1873399537999998,5.812052446200198,0.05714464652784932,10176.585343287552
SNDK,2026-04-13 00:15:00+00:00,2026-04-13 02:15:00+00:00,short,854.77,861.5483869999999,1.27,8,2.860121116658716,time_stop,-8.60855148999994,0.764194805745,-9.372746295744939,-0.09210109265115314,10167.212596991807
MU,2026-04-14 00:15:00+00:00,2026-04-14 02:15:00+00:00,short,433.71999999999997,432.1296,2.65,8,2.5967495402346135,time_stop,4.2145599999999686,0.80244332,3.4121166799999685,0.033560001302712195,10170.624713671807
SNDK,2026-04-16 02:45:00+00:00,2026-04-16 04:45:00+00:00,short,914.62,902.600699,1.32,8,2.7059279641460403,time_stop,15.865477320000055,0.83717614134,15.028301178660055,0.14776182979653493,10185.653014850466
ORCL,2026-04-20 01:00:00+00:00,2026-04-20 03:00:00+00:00,short,175.82999999999998,175.34258699999998,12.37,8,3.3765132616724363,time_stop,6.029298810000045,1.519497320595,4.509801489405045,0.044276017284604625,10190.162816339871
COIN,2026-04-23 00:15:00+00:00,2026-04-23 02:15:00+00:00,long,203.95000000000002,203.90880900000002,18.99,8,-2.54544236939937,time_stop,-0.7822170899999573,2.7107162414550006,-3.492933331454958,-0.034277502670065865,10186.669883008415
COIN,2026-04-23 02:45:00+00:00,2026-04-23 04:45:00+00:00,long,203.49,202.599202,20.09,8,-2.895363981516467,time_stop,-17.89613182000036,2.85273180409,-20.748863624090358,-0.20368642414436058,10165.921019384325
MSTR,2026-04-23 02:45:00+00:00,2026-04-23 04:45:00+00:00,long,175.37,176.80694200000002,10.41,8,-2.9562562936340666,time_stop,14.958566220000169,1.2854004731100002,13.673165746890168,0.13450001943570336,10179.594185131215
MSTR,2026-04-27 00:15:00+00:00,2026-04-27 01:00:00+00:00,short,174.17,177.49284528931423,23.35,3,2.5048832949921023,stop,-77.58843750548762,2.885602868752744,-80.47404037424036,-0.7905427162487917,10099.120144756975
INTC,2026-04-27 00:15:00+00:00,2026-04-27 02:15:00+00:00,short,84.91000000000001,85.935773,23.2,8,4.199906862766567,time_stop,-23.79793359999969,1.3908373668,-25.18877096679969,-0.24941549962524812,10073.931373790176
SNDK,2026-04-27 00:15:00+00:00,2026-04-27 02:15:00+00:00,short,1003.48,1012.4736509999999,2.75,8,5.260742991864566,time_stop,-24.732540249999687,1.9440652701249999,-26.67660552012469,-0.26480829112585064,10047.254768270051
COIN,2026-04-28 02:45:00+00:00,2026-04-28 04:45:00+00:00,long,195.4,196.46104400000002,14.24,8,-2.637335516374336,time_stop,15.109266560000137,1.9553018332800003,13.153964726720137,0.1309209831949449,10060.408732996772
AMD,2026-04-29 00:30:00+00:00,2026-04-29 02:30:00+00:00,short,328.82,326.587947,5.89,8,2.513319358797483,time_stop,13.146792170000044,1.349151463915,11.797640706085044,0.11726800589513216,10072.206373702857
MSTR,2026-04-29 03:30:00+00:00,2026-04-29 05:30:00+00:00,short,167.42999999999998,168.730604,17.12,8,3.184411437912655,time_stop,-22.266340480000363,2.01761429024,-24.283954770240364,-0.2410986616958368,10047.922418932616
AMD,2026-04-29 03:45:00+00:00,2026-04-29 05:45:00+00:00,short,328.13,330.439102,10.73,8,2.526249665825444,time_stop,-24.776664459999957,2.47697276223,-27.253637222229955,-0.27123654110702305,10020.668781710387
MSTR,2026-05-01 03:30:00+00:00,2026-05-01 05:30:00+00:00,short,168.01999999999998,168.140427,15.16,8,3.1090699318610238,time_stop,-1.8256733200000985,1.78394107666,-3.609614396660098,-0.03602169151871706,10017.059167313726
MU,2026-05-04 00:15:00+00:00,2026-05-04 02:15:00+00:00,short,553.85,559.36776,3.72,8,2.636269885564403,time_stop,-20.526067199999826,1.4524884336000001,-21.978555633599825,-0.21941125899822164,9995.080611680127
AMD,2026-05-04 00:30:00+00:00,2026-05-04 02:30:00+00:00,long,364.25,365.310374,7.8,8,-2.5864983213119634,time_stop,8.27091720000019,1.9929404586000001,6.27797674140019,0.06281066641987684,10001.358588421526
MSTR,2026-05-04 02:00:00+00:00,2026-05-04 04:00:00+00:00,short,181.51999999999998,186.0558,12.4,8,3.565033930952218,time_stop,-56.24392000000029,1.6037155600000002,-57.847635560000285,-0.5783977751479676,9943.510952861527
