ma_len,z_entry,tp_sd,stop_sd,max_hold_bars,trades,final_equity,total_return_pct,days,cagr_pct,sharpe,sortino,max_dd_pct,max_dd_at,calmar,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy,avg_bars_held,total_costs,cost_pct_of_gross,trades_per_week,max_consec_losses,score
96,3.0,1.0,4.0,48,43,9692.681420896934,-3.0731857910306637,155,-7.086747786979341,-1.7629081144297678,-0.9775222969711851,-4.111669910465865,2026-07-13 06:10:00+00:00,-1.7235692410377343,58.139534883720934,0.5834197437388876,17.21596009140929,-40.98431007712762,-7.146943700071273,12.534883720930232,83.36683556510035,37.22535678806536,1.9419354838709677,4,-0.7580504892048001
72,3.0,2.0,3.0,48,58,9610.045598675466,-3.8995440132453374,155,-8.94134795427226,-1.3212826987960713,-0.9223871818434024,-6.164241912307544,2026-07-15 00:55:00+00:00,-1.4505186657940756,46.55172413793103,0.7298331993131332,39.01590611064376,-46.56076988102938,-6.72335174697464,17.482758620689655,183.877942500984,89.22801932385254,2.6193548387096777,6,-0.7663439653017213
72,3.0,2.0,4.0,48,57,9690.741118024569,-3.092588819754305,155,-7.130540869951851,-1.3461681060138482,-0.8778339164772795,-4.81383774081573,2026-07-15 00:55:00+00:00,-1.4812590813963629,47.368421052631575,0.7206054369446291,29.54187126486755,-36.89631353756185,-5.425594420621608,18.017543859649123,137.35028020935553,79.897270292649,2.574193548387097,5,-0.7673158204278934
96,3.0,1.0,4.0,24,44,9728.931017445593,-2.710689825544066,155,-6.266401087028806,-1.7473077538067436,-0.8721985239037435,-3.949801758547,2026-07-13 03:10:00+00:00,-1.5865102782611562,52.27272727272727,0.5863295442466383,16.70472240487392,-31.20369513650027,-6.160658694418303,9.409090909090908,87.01700093140258,47.278491741339245,1.9870967741935484,4,-0.7688154116749673
72,2.5,2.5,3.0,48,92,9651.986911637632,-3.4801308836236777,155,-8.00274546081987,-0.85890283762228,-0.7556708734361304,-6.908730549171116,2026-07-14 01:00:00+00:00,-1.1583525227771418,46.73913043478261,0.8465039253070239,44.633282164746674,-46.2702902336015,-3.7827509604605054,21.119565217391305,296.14166631661857,570.9148788237119,4.15483870967742,5,-0.7901906106124976
96,3.0,1.0,3.0,48,46,9596.381155490237,-4.036188445097633,155,-9.245948322022812,-1.7325080362143155,-0.9351050002249145,-5.403968325985476,2026-07-13 04:25:00+00:00,-1.7109553136281026,56.52173913043478,0.5959091748139951,22.892813425953324,-49.94159967922747,-8.774322706733978,11.673913043478262,116.20492640551765,40.431210559319524,2.07741935483871,4,-0.7969536966585852
72,2.5,1.5,4.0,48,99,9780.3846759182,-2.1961532408179996,155,-5.094848673551167,-0.8141133190144485,-0.642787208182762,-4.33012158493079,2026-07-14 01:00:00+00:00,-1.1766063778166633,55.55555555555556,0.8587638276570317,24.27883004139084,-35.339794917234194,-2.218336606886957,15.343434343434344,222.47129900936184,7789.6796944209,4.470967741935484,5,-0.805972185824304
96,3.0,1.0,3.0,24,46,9626.612735221432,-3.7338726477856854,155,-8.571254523651572,-1.7577900935802087,-0.8548390684911034,-5.456879134598125,2026-07-13 03:10:00+00:00,-1.5707246417292704,52.17391304347826,0.5883299310193492,22.23411823804139,-41.22755011325312,-8.117114451708153,8.91304347826087,119.49059874058183,47.06268916611181,2.07741935483871,4,-0.808583443046896
72,2.5,1.5,3.0,24,99,9715.929891012302,-2.8407010898769847,155,-6.561100350687177,-0.8234877854904966,-0.7145266523984163,-5.858210836313904,2026-07-14 01:00:00+00:00,-1.1199836492767037,53.535353535353536,0.8581032825049177,32.412824861049266,-43.52064840485451,-2.869395040279759,10.858585858585858,298.14319883463264,2118.5340396269416,4.470967741935484,5,-0.8152529076355917
72,3.0,1.0,3.0,24,61,9679.807425267023,-3.20192574732977,155,-7.3770948058873405,-1.382707959996459,-1.0455160475621237,-4.455863580913466,2026-07-31 01:10:00+00:00,-1.6555926077914203,57.377049180327866,0.7197851257262333,23.49929835177777,-43.94876988635368,-5.2490586021798995,7.278688524590164,179.52467370195527,127.62305571216872,2.7548387096774194,4,-0.8434518555978399
72,2.5,2.5,4.0,24,92,9754.548510287337,-2.454514897126625,155,-5.684160906882141,-0.9261166695763894,-0.8154199071781443,-4.943371028702681,2026-06-26 03:30:00+00:00,-1.1498552048547872,45.65217391304348,0.84194718457029,31.131424576608673,-31.05942643860473,-2.6679509751377397,15.25,227.56312740912827,1272.1294635453812,4.15483870967742,5,-0.8520273360102782
72,2.5,1.5,3.0,48,99,9687.285325692212,-3.12714674307788,155,-7.208509482381209,-0.8656075837152595,-0.7082277734459463,-5.931177267166198,2026-07-14 01:00:00+00:00,-1.2153589679887102,54.54545454545454,0.8487091419476986,32.4863332938789,-45.93281493727215,-3.1587340839170275,14.454545454545455,297.31494247050836,1930.65012827569,4.470967741935484,5,-0.8569515078781069
